title,pdf_basename,midi_path,coverage_pct,num_pdf_chords,num_midi_events,status,output_path
"24 Caprices, Op. 1: 1",1st Caprice by Nicolo Paganini,/home/aser/programming/thesis/rubricnet/midi-20260630T194726Z-3-001/midi/1st Caprice by Nicolo Paganini.mid,0.546,1087,593,skipped_low_coverage,
"24 Caprices, Op. 1: 13",13th Caprice by Niccolo Paganini,/home/aser/programming/thesis/rubricnet/midi-20260630T194726Z-3-001/midi/13th Caprice by Niccolo Paganini.mid,1.000,342,684,ok,/home/aser/programming/thesis/rubricnet/verified_pieces/pdf/xml_rhythm/13th Caprice by Niccolo Paganini.musicxml
"24 Caprices, Op. 1: 16",Capriccio No 16 Presto In Sol Minore by Niccolo Paganini,/home/aser/programming/thesis/rubricnet/midi-20260630T194726Z-3-001/midi/Capriccio No 16 Presto In Sol Minore by Niccolo Paganini.mid,1.000,616,712,ok,/home/aser/programming/thesis/rubricnet/verified_pieces/pdf/xml_rhythm/Capriccio No 16 Presto In Sol Minore by Niccolo Paganini.musicxml
"24 Caprices, Op. 1: 2",Capricce No 2 by Nicolo Paganini,/home/aser/programming/thesis/rubricnet/midi-20260630T194726Z-3-001/midi/Capricce No 2 by Nicolo Paganini.mid,0.988,986,974,ok,/home/aser/programming/thesis/rubricnet/verified_pieces/pdf/xml_rhythm/Capricce No 2 by Nicolo Paganini.musicxml
"24 Caprices, Op. 1: 20",Caprice No 20 by Niccolo Paganini,/home/aser/programming/thesis/rubricnet/midi-20260630T194726Z-3-001/midi/Caprice No 20 by Niccolo Paganini.mid,1.000,377,445,ok,/home/aser/programming/thesis/rubricnet/verified_pieces/pdf/xml_rhythm/Caprice No 20 by Niccolo Paganini.musicxml
"24 Caprices, Op. 1: 24",Caprice No.24 by Nicolo Paganini,/home/aser/programming/thesis/rubricnet/midi-20260630T194726Z-3-001/midi/Caprice No.24 by Nicolo Paganini.mid,1.000,219,333,ok,/home/aser/programming/thesis/rubricnet/verified_pieces/pdf/xml_rhythm/Caprice No.24 by Nicolo Paganini.musicxml
Bajando de la meseta,Por Los Campos De Espana No 3 Bajando De La Meseta by Joaquin Rodrigo,/home/aser/programming/thesis/rubricnet/midi-20260630T194726Z-3-001/midi/Por Los Campos De Espana No 3 Bajando De La Meseta by Joaquin Rodrigo.mid,0.967,1201,1173,ok,/home/aser/programming/thesis/rubricnet/verified_pieces/pdf/xml_rhythm/Por Los Campos De Espana No 3 Bajando De La Meseta by Joaquin Rodrigo.musicxml
Choro da Saudade,Choro de Saudade (Nostalgic Song) by Agustin Barrios Mangore,/home/aser/programming/thesis/rubricnet/midi-20260630T194726Z-3-001/midi/Choro de Saudade (Nostalgic Song) by Agustin Barrios Mangore.mid,0.768,405,905,skipped_low_coverage,
Entre olivares,Por Los Campos De Espana No 2 Entre Olivares  by Joaquin Rodrigo,/home/aser/programming/thesis/rubricnet/midi-20260630T194726Z-3-001/midi/Por Los Campos De Espana No 2 Entre Olivares  by Joaquin Rodrigo.mid,0.993,983,1681,ok,/home/aser/programming/thesis/rubricnet/verified_pieces/pdf/xml_rhythm/Por Los Campos De Espana No 2 Entre Olivares  by Joaquin Rodrigo.musicxml
"Goldberg Variations, BWV 988: Variatio 1",BWV 988 Goldberg Variation 1 by Johann Sebastian Bach,/home/aser/programming/thesis/rubricnet/midi-20260630T194726Z-3-001/midi/BWV 988 Goldberg Variation 1 by Johann Sebastian Bach.mid,0.510,255,756,skipped_low_coverage,
"Grand Overture, Op. 61",Opus 61 Grand Overture by Mauro Giuliani,/home/aser/programming/thesis/rubricnet/midi-20260630T194726Z-3-001/midi/Opus 61 Grand Overture by Mauro Giuliani.mid,0.861,2972,2567,ok,/home/aser/programming/thesis/rubricnet/verified_pieces/pdf/xml_rhythm/Opus 61 Grand Overture by Mauro Giuliani.musicxml
"Jesu, Joy of Man's Desiring (from Cantata No. 147)","BWV147  Jesu, Joy of Man_s Desiring Johann Sebastian Bach","/home/aser/programming/thesis/rubricnet/midi-20260630T194726Z-3-001/midi/BWV147  Jesu, Joy of Man_s Desiring Johann Sebastian Bach.mid",0.995,370,472,ok,"/home/aser/programming/thesis/rubricnet/verified_pieces/pdf/xml_rhythm/BWV147  Jesu, Joy of Man_s Desiring Johann Sebastian Bach.musicxml"
La Maja de Goya (Tonadilla),La Maja De Goya by Enrique Granados,/home/aser/programming/thesis/rubricnet/midi-20260630T194726Z-3-001/midi/La Maja De Goya by Enrique Granados.mid,0.715,403,781,skipped_low_coverage,
Leyenda (Asturias) from Suite Espanola,Asturias-Leyenda by Isaac Albeniz,/home/aser/programming/thesis/rubricnet/midi-20260630T194726Z-3-001/midi/Asturias-Leyenda by Isaac Albeniz.mid,0.865,960,1706,ok,/home/aser/programming/thesis/rubricnet/verified_pieces/pdf/xml_rhythm/Asturias-Leyenda by Isaac Albeniz.musicxml
"Suite IV, BWV 1006a: iii. Gavotte en rondeau",BWV 1006a iii Gavotte En Rondeau by Johann Sebastian Bach,/home/aser/programming/thesis/rubricnet/midi-20260630T194726Z-3-001/midi/BWV 1006a iii Gavotte En Rondeau by Johann Sebastian Bach.mid,0.998,661,660,ok,/home/aser/programming/thesis/rubricnet/verified_pieces/pdf/xml_rhythm/BWV 1006a iii Gavotte En Rondeau by Johann Sebastian Bach.musicxml
"Suite IV, BWV 1006a: v. Bourree",BWV 1006a Bourree by Johann Sebastian Bach,/home/aser/programming/thesis/rubricnet/midi-20260630T194726Z-3-001/midi/BWV 1006a Bourree by Johann Sebastian Bach.mid,1.000,280,536,ok,/home/aser/programming/thesis/rubricnet/verified_pieces/pdf/xml_rhythm/BWV 1006a Bourree by Johann Sebastian Bach.musicxml
Valses Poeticos - Valse No. 6 Poeticos: Presto,Valses Poeticos No 6 by Enrique Granados,/home/aser/programming/thesis/rubricnet/midi-20260630T194726Z-3-001/midi/Valses Poeticos No 6 by Enrique Granados.mid,0.994,154,158,ok,/home/aser/programming/thesis/rubricnet/verified_pieces/pdf/xml_rhythm/Valses Poeticos No 6 by Enrique Granados.musicxml
