Composer,Title,Difficulty,scorehash,xml_path,readable_path
Jorge Cardoso,24 Piezas Sudamericanas: 1. Cueca Chilena,9,Nf1wc,gaps_v1/musicxml/Nf1wc.xml,gaps_v1/readable_musicxml/Antonio Lauro - Cueca Chilena.xml
John Dowland,A Fancy,14,zD1wc,gaps_v1/musicxml/zD1wc.xml,gaps_v1/readable_musicxml/John Dowland - A Fancy (Fantasy).xml
Francisco Tarrega,Adelita (Mazurka),6,6Sswc,gaps_v1/musicxml/6Sswc.xml,gaps_v1/readable_musicxml/Francisco Tarrega - Adelita (Mazurka).xml
Francisco Tarrega,"Alborada, Capriccio",11,8M1wc,gaps_v1/musicxml/8M1wc.xml,gaps_v1/readable_musicxml/Johann Kaspar Mertz - Capriccio.xml
George Friedrich Handel,Allemande,10,jw1wc,gaps_v1/musicxml/jw1wc.xml,gaps_v1/readable_musicxml/Robert de Visee - Allemande from Lute suite in D minor.xml
Johann Kaspar Mertz,An Malvina,8,NY1wc,gaps_v1/musicxml/NY1wc.xml,gaps_v1/readable_musicxml/Johann Kaspar Mertz - An Malvina.xml
Fernando Sor,Andante,2,P41wc,gaps_v1/musicxml/P41wc.xml,gaps_v1/readable_musicxml/Johann Sebastian Bach - BWV 1003 Andante.xml
Agustin Barrios Mandore,Arabescos (Estudio No. 4),11,ff1wc,gaps_v1/musicxml/ff1wc.xml,gaps_v1/readable_musicxml/Francisco Tarrega - Estudio No 4.xml
J.S. Bach,Aria,5,Ck1wc,gaps_v1/musicxml/Ck1wc.xml,gaps_v1/readable_musicxml/Regino Sainz de la Maza - Romancillo de Maria Belen.xml
Isaac Albeniz,Asturias (Leyenda) (Theme),8,qV1wc,gaps_v1/musicxml/qV1wc.xml,gaps_v1/readable_musicxml/Isaac Albeniz - Asturias-Leyenda.xml
Anonymous,Ballet,5,Hk1wc,gaps_v1/musicxml/Hk1wc.xml,gaps_v1/readable_musicxml/Manuel Ponce - Ballet.xml
Jaime Mirtenbaum Zenamon,Bossa,3,-k1wc,gaps_v1/musicxml/-k1wc.xml,gaps_v1/readable_musicxml/Jorge Morel - Bossa in Re.xml
Leopold Mozart,Bourree,2,2D1wc,gaps_v1/musicxml/2D1wc.xml,gaps_v1/readable_musicxml/Johann Sebastian Bach - BWV996 Bourree in E Minor.xml
Agustin Barrios Mangore,Cancion de Cuna (Cradle Song),8,wpswc,gaps_v1/musicxml/wpswc.xml,gaps_v1/readable_musicxml/Sergio Assad - Cradle song.xml
Matteo Carcassi,Caprice,2,9D1wc,gaps_v1/musicxml/9D1wc.xml,gaps_v1/readable_musicxml/Luigi Legnani - Caprice No 29.xml
Francisco Tarrega,Capricho Arabe,13,241wc,gaps_v1/musicxml/241wc.xml,gaps_v1/readable_musicxml/Francisco Tarrega - Capricho Arabe-Senata.xml
Agustin Barrios Mandore,Contemplacion,13,lw1wc,gaps_v1/musicxml/lw1wc.xml,gaps_v1/readable_musicxml/Agustin Barrios Mangore - Contemplacion (Vals et Tremelo).xml
Silvius Leopold Weiss,Courante,6,ny1wc,gaps_v1/musicxml/ny1wc.xml,gaps_v1/readable_musicxml/Johann Sebastian Bach - BWV 995 Courante.xml
Hans Neusidler,Dance,1,QM1wc,gaps_v1/musicxml/QM1wc.xml,gaps_v1/readable_musicxml/Jorge Morel - Staccato Dance.xml
Agustin Barrios Mandore,Danza,8,-f1wc,gaps_v1/musicxml/-f1wc.xml,gaps_v1/readable_musicxml/Agustin Barrios - Danza Guarani.xml
Leo Brouwer,Danza Del Altiplano (Sobre un tema folklorico) (No.1 des Trois Pieces Latino-Americaines),9,ty1wc,gaps_v1/musicxml/ty1wc.xml,gaps_v1/readable_musicxml/Leo Brouwer - Danza del Altiplano.xml
