validated,Title,Composer,Difficulty,Reading,Max Position,Era,status,source,pdf_path,token_path,gp_path,scorehash,xml_path,file_path,barre_ratio,avg_chord_stretch,max_chord_stretch,avg_position_shift,fret_change_rate,arpeggio_density,avg_string_jump,max_string_jump,special_technique_ratio,avg_polyphony,total_notes,tempo_bpm,log_total_notes,avg_fret,p90_fret,high_position_ratio,open_string_ratio,p90_chord_stretch,chord_ratio,avg_string_span,unique_shape_rate,shift_rate,max_position_shift,std_position_shift,fret_entropy,string_entropy,repetition_ratio,max_avg_chord_stretch_window,p95_position_shift_window,max_note_density_window,avg_stretch_velocity_beats,p90_stretch_velocity_beats,avg_position_shift_speed_beats,max_position_shift_speed_beats,polyphonic_arpeggio_intensity_beats,has_rhythm,m21_DiminishedSeventhSimultaneityPrevalence,m21_DiminishedTriadSimultaneityPrevalence,m21_DominantSeventhSimultaneityPrevalence,m21_IncorrectlySpelledTriadPrevalence,m21_MajorTriadSimultaneityPrevalence,m21_MinorTriadSimultaneityPrevalence,m21_MostCommonNoteQuarterLength,m21_MostCommonNoteQuarterLengthPrevalence,m21_MostCommonPitchClassSetSimultaneityPrevalence,m21_MostCommonSetClassSimultaneityPrevalence,m21_Quality,m21_RangeOfNoteQuarterLengths,m21_TonalCertainty,m21_TriadSimultaneityPrevalence,m21_UniqueNoteQuarterLengths,m21_UniquePitchClassSetSimultaneities,m21_UniqueSetClassSimultaneities
1,24 Piezas Sudamericanas: 1. Cueca Chilena,Jorge Cardoso,9,6,XII,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Cueca Chilena by Jorge Cardoso.pdf,,,,verified_pieces/pdf/xml/Cueca Chilena by Jorge Cardoso.musicxml,,0.002061855670103,1.2204301075268815,20,2.3337465564738293,0.5602094240837696,0.5513513513513514,0.6714876033057852,5,0.0,1.577319587628866,765,112.0,6.641182169740591,2.6562091503267973,7.0,0.1176470588235294,0.3176470588235294,2.0,0.4041237113402062,2.816326530612245,0.4948979591836734,0.2995867768595041,22.0,3.0199719444889017,2.872922817942781,2.438344324033665,0.0805785123966942,2.272727272727273,20.7,5.8125,2.788159588159588,7.199999999999989,6.438406795224976,76.0,6.1800229681745575,True,0.0,0.0022321428571428,0.0111607142857142,0.0,0.1361607142857142,0.1584821428571428,0.5,0.6205357142857143,0.1071428571428571,0.59375,0.0,2.75,1.1726868126645744,0.0401785714285714,6.0,55.0,15.0
1,24 Piezas Sudamericanas: 2. Chacarera,Jorge Cardoso,12,8,All,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Chacarera by Jorge Cardoso.pdf,,,,verified_pieces/pdf/xml/Chacarera by Jorge Cardoso.musicxml,,0.0215439856373429,1.1865284974093264,4,1.439748201438849,0.4815983175604627,0.3108614232209737,0.4514388489208633,5,0.0,1.7091561938958708,952,138.0,6.859614903654202,2.96218487394958,7.0,0.111344537815126,0.190126050420168,2.0,0.3500897666068223,2.6923076923076925,0.6410256410256411,0.1834532374100719,8.333333333333334,1.232386625662042,3.1284131107009707,2.448510504105957,0.1438848920863309,2.333333333333333,5.333333333333333,5.3125,2.78125,4.0,5.01603717026379,72.0,5.213029063961134,True,0.0271398747390396,0.0041753653444676,0.0062630480167014,0.1363636363636363,0.0292275574112734,0.0563674321503131,0.5,0.569937369519833,0.127348643006263,0.6680584551148225,1.0,2.8125,1.4923501994739734,0.0396659707724425,9.0,93.0,28.0
1,24 Piezas Sudamericanas: 24. Milonga,Jorge Cardoso,8,5,VIII,Modern,found,dada_gp,,"datasets/DadaGP-v1.1/C/Cardoso, Jorge/Cardoso, Jorge - Milonga in d minor.gp3.tokens.txt","datasets/DadaGP-v1.1/C/Cardoso, Jorge/Cardoso, Jorge - Milonga in d minor.gp3",,"verified_pieces/dada/xml/Cardoso, Jorge - Milonga in d minor.musicxml",,0.0,0.8985507246376812,3,2.665818490245971,0.7295597484276729,0.9144981412639404,1.5826972010178118,5,0.00836820083682,1.2131979695431472,478,56.0,6.171700597410915,3.1297071129707112,7.0,0.1694560669456067,0.2740585774058577,2.0,0.1852791878172588,1.7671232876712328,0.5342465753424658,0.3486005089058524,10.0,2.496902092777982,3.054161846278089,2.4221608182517147,0.0,1.4285714285714286,10.0,5.125,3.246376811594203,8.0,10.434973141080013,40.0,5.38198263982946,True,0.0,0.0,0.0,0.3333333333333333,0.0558375634517766,0.0532994923857868,0.25,0.9517766497461928,0.1675126903553299,0.8197969543147208,1.0,0.4375,1.4613615173957937,0.0050761421319796,4.0,38.0,13.0
1,24 Piezas Sudamericanas: 4. Vals Venezolano,Jorge Cardoso,9,5,VII,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Vals Venezolano by Jorge Cardoso.pdf,,,,verified_pieces/pdf/xml/Vals Venezolano by Jorge Cardoso.musicxml,,0.0155440414507772,1.3350515463917525,4,1.59031560743623,0.4058219178082192,0.5567010309278351,0.8443579766536965,5,0.0,1.5142487046632125,1169,120.0,7.064759027791802,3.4910179640718564,7.0,0.1659538066723695,0.1479897348160821,2.0,0.2590673575129533,2.48,0.285,0.1712062256809338,22.0,3.0844039858068206,3.217227485046919,2.36988585624846,0.3060959792477302,2.6666666666666665,21.0,7.75,8.178756476683938,28.800000000000185,5.038694336359706,160.0,5.965144855101248,True,0.0,0.0122377622377622,0.0052447552447552,-0.1,0.0349650349650349,0.0646853146853146,0.5,0.9615384615384616,0.1590909090909091,0.7814685314685315,1.0,2.75,0.842402309916175,0.0769230769230769,5.0,60.0,14.0
1,24 Piezas Sudamericanas: 8. Polo Margariteno,Jorge Cardoso,12,6,IX,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Polo Margariteno by Jorge Cardoso.pdf,,,,verified_pieces/pdf/xml/Polo Margariteno by Jorge Cardoso.musicxml,,0.0,0.75,3,2.5446236559139783,0.6902404526166902,0.8326530612244898,1.4903225806451612,5,0.0,1.140096618357488,708,160.0,6.563855526532128,3.1129943502824857,7.0,0.1016949152542373,0.1991525423728813,2.0,0.1256038647342995,2.9871794871794872,0.6666666666666666,0.2290322580645161,22.0,4.272272206285748,2.8442356254268844,2.546093785564722,0.0451612903225806,3.0,21.75,2.75,1.192488262910798,4.0,5.068458781362007,64.0,2.404135236923608,True,0.0,0.0,0.0,0.5,0.0336700336700336,0.0336700336700336,0.5,0.867003367003367,0.1531986531986532,0.9006734006734006,1.0,2.6875,1.1907627100688858,0.0016835016835016,5.0,30.0,9.0
1,A Coy Toy,John Dowland,7,6,V,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/dowland-coy-toy.pdf,,,,verified_pieces/pdf/xml/dowland-coy-toy.musicxml,,0.0,0.75,3,1.5163398692810457,0.5426829268292683,0.3555555555555555,0.4411764705882353,4,0.0,1.6019417475728157,165,144.0,5.111987788356544,1.9212121212121207,4.0,0.0424242424242424,0.296969696969697,2.0,0.3883495145631068,2.75,0.55,0.196078431372549,7.0,1.336701180409786,2.5007280025608174,2.2955416858324167,0.1078431372549019,1.2142857142857142,5.5,4.0625,2.504273504273504,4.800000000000011,4.216230936819173,28.0,5.809239304384935,True,0.0,0.0,0.0,0.0,0.1397849462365591,0.0967741935483871,0.5,0.4408602150537634,0.1505376344086021,0.6559139784946236,1.0,0.8125,1.487108740391035,0.075268817204301,6.0,26.0,6.0
1,A mi madre (Sonatina),Agustin Barrios Mangore,12,8,All,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/A Mi Madre Sonatina by Agustin Barrios Mangore.pdf,,,,verified_pieces/pdf/xml/A Mi Madre Sonatina by Agustin Barrios Mangore.musicxml,,0.0057526366251198,1.3392857142857142,4,2.335572616762636,0.5407348242811502,0.5929411764705882,0.8992322456813819,5,0.0,1.2013422818791946,1253,68.0,7.134093721192866,6.0654429369513165,12.0,0.4948124501197127,0.1779728651237031,3.0,0.1140939597315436,2.7142857142857144,0.5294117647058824,0.2869481765834933,22.0,3.5855953814090507,3.669675352149514,2.400435104101581,0.2562380038387716,3.0,22.0,4.5625,5.892964392964393,16.0,9.504438579654511,352.0,3.385984825968521,True,0.0,0.0037735849056603,0.0025157232704402,0.0,0.0289308176100628,0.0251572327044025,0.5,0.7610062893081762,0.1345911949685534,0.8918238993710692,0.0,2.8125,1.0047771858347136,0.0289308176100628,10.0,51.0,17.0
1,Abri la Puerta mi China,Agustin Barrios Mandore,11,5,XII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Abri La Puerta Mi China by Augustin Barrios Mangore.pdf,,,,verified_pieces/pdf/xml/Abri La Puerta Mi China by Augustin Barrios Mangore.musicxml,,0.003003003003003,1.107255520504732,3,0.9416040100250626,0.3067961165048544,0.2966666666666667,0.2481203007518796,4,0.0,1.548048048048048,1031,96.0,6.939253946041508,10.276430649854513,14.0,0.8981571290009699,0.0106692531522793,2.0,0.4759759759759759,1.4479495268138802,0.1419558359621451,0.1428571428571428,9.0,1.430298740287075,3.30508000918336,2.022045656849379,0.4345864661654135,2.0,6.0,7.375,7.800210304942166,16.0,5.140100250626566,96.0,8.869955054046754,True,0.0,0.0042016806722689,0.0,0.0,0.157563025210084,0.1092436974789916,0.25,0.5756302521008403,0.1407563025210084,0.5462184873949579,0.0,1.1875,0.9421832779496226,0.0168067226890756,10.0,33.0,8.0
1,Adagio,Robert Schumann,3,2,IV,Romantic,found,dada_gp,,datasets/DadaGP-v1.1/R/Robert Schumann/Robert Schumann - Adagio.gp3.tokens.txt,datasets/DadaGP-v1.1/R/Robert Schumann/Robert Schumann - Adagio.gp3,,verified_pieces/dada/xml/Robert Schumann - Adagio.musicxml,,0.0,0.4470588235294118,4,1.4698795180722892,0.2670967741935484,0.0,0.6546184738955824,5,0.0,3.104,776,60.0,6.655440350367647,1.5618556701030928,4.0,0.0,0.345360824742268,1.0,1.0,0.752,0.2,0.1887550200803212,5.0,1.2258313878603282,2.280978605765146,2.445618890166121,0.0160642570281124,1.1666666666666667,4.0,8.125,0.8470588235294118,2.0,2.889558232931727,10.0,18.891796078431373,True,0.008,0.016,0.008,0.125,0.08,0.12,0.5,0.976,0.24,0.64,1.0,0.5,1.1636748957436045,0.056,2.0,33.0,11.0
1,Adagio from Pathetique Sonata,Ludwig van Beethoven,11,7,XII,Classical,found,gaps,,,,jc1wc,datasets/gaps_v1/readable_musicxml/Ludwig Van Beethoven - Opus 13 Sonata Pathetique.xml,,0.0110344827586206,1.0124223602484472,5,1.4203038674033148,0.4460251046025104,0.5,0.5483425414364641,3,0.0,1.6496551724137931,1196,100.0,7.087573705557973,3.8603678929765888,9.0,0.2023411371237458,0.1588628762541806,3.0,0.4551724137931034,2.309090909090909,0.4787878787878787,0.1961325966850828,9.0,1.578002502093985,3.262521755623719,2.401632840679764,0.1795580110497237,2.333333333333333,7.0,12.1875,5.244911972454733,12.00480192076915,8.099502623755978,95.92326139090652,13.606810939357906,True,0.0041322314049586,0.0165289256198347,0.0068870523415977,0.1118881118881118,0.2066115702479339,0.1818181818181818,0.1666666666666666,0.4504692387904067,0.0771349862258953,0.1763085399449036,0.0,2.0,1.2224486321061927,0.174931129476584,15.0,98.0,27.0
