Target,Candidate,Source,Reason,Path
Mauro Giuliani - 3 temi favoriti con variazioni: Tema di Rode,"G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No.3.gp3.tokens.txt",DadaGP,Num:{'3'},"G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No.3.gp3.tokens.txt"
Mauro Giuliani - 3 temi favoriti con variazioni: Tema di Rode,"G/Giuliani, Mauro/Giuliani, Mauro - Study No. 3.gp4.tokens.txt",DadaGP,Num:{'3'},"G/Giuliani, Mauro/Giuliani, Mauro - Study No. 3.gp4.tokens.txt"
Mauro Giuliani - 4 pezzi favoriti: Rondo sul tema Donnette innamorate,"G/Giuliani, Mauro/Giuliani, Mauro - Dance Rondo.gp4.tokens.txt",DadaGP,Num:{'4'},"G/Giuliani, Mauro/Giuliani, Mauro - Dance Rondo.gp4.tokens.txt"
"J.S. Bach - Adagio, Aria, and Fugue; BWV 992: i. Adagio","B/Bach, Johann Sebastian/Bach, Johann Sebastian - Toccata And Fugue (Bwv 565).gp4.tokens.txt",DadaGP,Words:3/7,"B/Bach, Johann Sebastian/Bach, Johann Sebastian - Toccata And Fugue (Bwv 565).gp4.tokens.txt"
"J.S. Bach - Adagio, Aria, and Fugue; BWV 992: ii. Aria","B/Bach, Johann Sebastian/Bach, Johann Sebastian - Toccata And Fugue (Bwv 565).gp4.tokens.txt",DadaGP,Words:3/7,"B/Bach, Johann Sebastian/Bach, Johann Sebastian - Toccata And Fugue (Bwv 565).gp4.tokens.txt"
"J.S. Bach - Adagio, Aria, and Fugue; BWV 992: iii. Fugue","B/Bach, Johann Sebastian/Bach, Johann Sebastian - Toccata And Fugue (Bwv 565).gp4.tokens.txt",DadaGP,Words:3/7,"B/Bach, Johann Sebastian/Bach, Johann Sebastian - Toccata And Fugue (Bwv 565).gp4.tokens.txt"
Francisco Tarrega - Adelita (Mazurca),"T/Tarrega, Francisco/Tarrega, Francisco - Adelita (2).gp3.tokens.txt",DadaGP,Words:1/2,"T/Tarrega, Francisco/Tarrega, Francisco - Adelita (2).gp3.tokens.txt"
Francisco Tarrega - Adelita (Mazurca),"T/Tarrega, Francisco/Tarrega, Francisco - Adelita.gp3.tokens.txt",DadaGP,Words:1/2,"T/Tarrega, Francisco/Tarrega, Francisco - Adelita.gp3.tokens.txt"
"Mauro Giuliani - Agitato, Op. 51 no. 3","G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No. 1.gp3.tokens.txt",DadaGP,Num:{'3'},"G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No. 1.gp3.tokens.txt"
"Mauro Giuliani - Agitato, Op. 51 no. 3","G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No.3.gp3.tokens.txt",DadaGP,Num:{'3'},"G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No.3.gp3.tokens.txt"
"Mauro Giuliani - Agitato, Op. 51 no. 3","G/Giuliani, Mauro/Giuliani, Mauro - Study No. 3.gp4.tokens.txt",DadaGP,Num:{'3'},"G/Giuliani, Mauro/Giuliani, Mauro - Study No. 3.gp4.tokens.txt"
"Fernando Sor - Allegretto in E Minor, Op. 47 no. 4","S/Sor, Fernando/Sor, Fernando - Encouragement Cantabile Op.34.gp4.tokens.txt",DadaGP,Num:{'4'},"S/Sor, Fernando/Sor, Fernando - Encouragement Cantabile Op.34.gp4.tokens.txt"
"Fernando Sor - Allegretto in E Minor, Op. 47 no. 4","S/Sor, Fernando/Sor, Fernando - Estudio 3 (Op. 6, No. 2).gp4.tokens.txt",DadaGP,Num:{'4'},"S/Sor, Fernando/Sor, Fernando - Estudio 3 (Op. 6, No. 2).gp4.tokens.txt"
"Fernando Sor - Allegretto in E Minor, Op. 47 no. 4","S/Sor, Fernando/Sor, Fernando - Estudio No. 10.gp4.tokens.txt",DadaGP,Num:{'4'},"S/Sor, Fernando/Sor, Fernando - Estudio No. 10.gp4.tokens.txt"
"Fernando Sor - Allegretto in E Minor, Op. 47 no. 4","S/Sor, Fernando/Sor, Fernando - Estudio No. 18.gp4.tokens.txt",DadaGP,Num:{'4'},"S/Sor, Fernando/Sor, Fernando - Estudio No. 18.gp4.tokens.txt"
