Composer,Title,Filename,Score
Fernando Sor,Tempo di Minuetto; Op. 2 no. 4,sor_op2_nr4.mid,100
Fernando Sor,"Study, Op. 35 no. 21",sorf_op35_no21.mid,100
Fernando Sor,"Study in E Minor, Op. 35 no. 24",sorf_op35_no24.mid,100
Fernando Sor,"Study, Op. 35 no. 23",sorf_op35_no23.mid,100
Fernando Sor,"Study, Op. 35 no. 15",sorf_op35_no15.mid,100
Fernando Sor,"Moderato, Op. 35 no. 16",sorf_op35_no16.mid,100
Fernando Sor,"Moderato, Op. 35 no. 17",sorf_op35_no17.mid,100
Fernando Sor,"Study, Op. 35 no. 18",sorf_op35_no18.mid,100
Fernando Sor,"Study, Op. 35 no. 19",sorf_op35_no19.mid,100
Fernando Sor,"Study, Op. 35 no. 20",sorf_op35_no20.mid,100
Fernando Sor,"Andante, Op. 35 no. 13",sorf_op35_no13.mid,100
Fernando Sor,"Study, Op. 35 no. 12",sorf_op35_no12.mid,100
Fernando Sor,"Study, Op. 35 no. 9",sorf_op35_no9.mid,100
Fernando Sor,"Allegretto, Op. 35 no. 8",sorf_op35_no8.mid,100
Fernando Sor,"Study, Op. 35 no. 11",sorf_op35_no11.mid,100
Fernando Sor,"Study, Op. 35 no. 10",sorf_op35_no10.mid,100
Fernando Sor,Andantino in C; Op. 35 no. 2,sorf_op35_no2.mid,100
Fernando Sor,"Study, Op. 35 no. 3",sorf_op35_no3.mid,100
Fernando Sor,"Study, Op. 35 no. 4",sorf_op35_no4.mid,100
Fernando Sor,"Andante, Op. 35 no. 1",sorf_op35_no1.mid,100
J.S. Bach,Prelude; BWV 999,Bach_Prelude_BWV999.mid,100
J.S. Bach,"Suite, BWV 997: i. Praeludio",bwv997-05double.mid,100
Fernando Sor,"Allegretto, Op. 35 no. 22",sorf_op35_no22.mid,100
J.S. Bach,"In Dulci Jubilo, BWV 751",bwv751.mid,100
Fernando Sor,"Allegretto moderato, Op. 6 no. 11",sorf-op6n10.mid,80
Fernando Sor,Tempo di Minuetto; Op. 2 no. 1,sor_op2_nr5.mid,80
Niccolo Paganini,"24 Caprices, Op. 1: 1",sor_op1_2.mid,80
Fernando Sor,"Andante Largo, Op. 5 no. 5",sor-op5-5.mid,80
Fernando Sor,Einleitende Etuden (Introductory Studies); Op. 60 no. 1,sor_op60-06.mid,80
Fernando Sor,"Marche funebre, Op. 59",giuliani-op59n08.mid,80
