Composer,Title,Difficulty
Niccolo Paganini,"24 Caprices, Op. 1: 1",20
Niccolo Paganini,"24 Caprices, Op. 1: 10",17
Niccolo Paganini,"24 Caprices, Op. 1: 11",19
Niccolo Paganini,"24 Caprices, Op. 1: 12",18
Niccolo Paganini,"24 Caprices, Op. 1: 13",16
Niccolo Paganini,"24 Caprices, Op. 1: 14",14
Niccolo Paganini,"24 Caprices, Op. 1: 15",19
Niccolo Paganini,"24 Caprices, Op. 1: 16",17
Niccolo Paganini,"24 Caprices, Op. 1: 17",18
Niccolo Paganini,"24 Caprices, Op. 1: 18",15
Niccolo Paganini,"24 Caprices, Op. 1: 19",18
Niccolo Paganini,"24 Caprices, Op. 1: 2",19
Niccolo Paganini,"24 Caprices, Op. 1: 20",15
Niccolo Paganini,"24 Caprices, Op. 1: 21",14
Niccolo Paganini,"24 Caprices, Op. 1: 22",15
Niccolo Paganini,"24 Caprices, Op. 1: 23",18
Niccolo Paganini,"24 Caprices, Op. 1: 24",19
Niccolo Paganini,"24 Caprices, Op. 1: 3",20
Niccolo Paganini,"24 Caprices, Op. 1: 4",20
Niccolo Paganini,"24 Caprices, Op. 1: 5",20
Niccolo Paganini,"24 Caprices, Op. 1: 6",20
Niccolo Paganini,"24 Caprices, Op. 1: 7",20
Niccolo Paganini,"24 Caprices, Op. 1: 8",19
Niccolo Paganini,"24 Caprices, Op. 1: 9",16
Fernando Sor,"Allegretto in E Minor, Op. 47 no. 4",7
Fernando Sor,"Allegretto moderato, Op. 6 no. 11",7
Fernando Sor,"Allegretto, Op. 35 no. 22",4
Fernando Sor,"Allegretto, Op. 35 no. 8",4
Fernando Sor,Allegro,1
Fernando Sor,Andante in B Minor,4
Fernando Sor,"Andante Largo, Op. 5 no. 5",10
Fernando Sor,"Andante, Op. 35 no. 1",1
Fernando Sor,"Andante, Op. 35 no. 13",3
Fernando Sor,"Andante, Op. 44 no. 1",1
Fernando Sor,"Andante, Op. 44 no. 15",4
Fernando Sor,Andantino (Pg. 171),6
Fernando Sor,Andantino (Pg. 176),3
Fernando Sor,Andantino in C; Op. 35 no. 2,1
Fernando Sor,Andantino in E Minor,3
Fernando Sor,"Andantino, Op. 44 no. 5",2
Fernando Sor,"Andantino, Op. 44 no. 9",3
Fernando Sor,"Andantino, Op. 6 no. 8",6
J.S. Bach,Be Thou With Me (Bist du bei  mir),13
J.S. Bach,"Bouree (from Partita #3 for Violin, BWV 1006)",7
J.S. Bach,"Bouree, BWV 996",7
J.S. Bach,Bourree (pg. 15),7
J.S. Bach,Bourree (pg. 2),3
J.S. Bach,"Chromatic Fantasy and Fugue, BWV 903",18
J.S. Bach,"Courante from Cello Suite No. III, BWV 1009",9
Fernando Sor,Deuxieme Fantasie (Op. 4),6
Fernando Sor,Einleitende Etuden (Introductory Studies); Op. 60 no. 1,1
Fernando Sor,Einleitende Etuden (Introductory Studies); Op. 60 no. 11,3
Fernando Sor,Einleitende Etuden (Introductory Studies); Op. 60 no. 13,3
Fernando Sor,Einleitende Etuden (Introductory Studies); Op. 60 no. 14,3
Fernando Sor,Einleitende Etuden (Introductory Studies); Op. 60 no. 15,3
Fernando Sor,Einleitende Etuden (Introductory Studies); Op. 60 no. 17,4
Fernando Sor,Einleitende Etuden (Introductory Studies); Op. 60 no. 2,1
Fernando Sor,Einleitende Etuden (Introductory Studies); Op. 60 no. 20,3
Fernando Sor,Einleitende Etuden (Introductory Studies); Op. 60 no. 21,8
Fernando Sor,Einleitende Etuden (Introductory Studies); Op. 60 no. 22,7
Fernando Sor,Einleitende Etuden (Introductory Studies); Op. 60 no. 23,8
Fernando Sor,Einleitende Etuden (Introductory Studies); Op. 60 no. 24,5
Fernando Sor,Einleitende Etuden (Introductory Studies); Op. 60 no. 25,7
Fernando Sor,Einleitende Etuden (Introductory Studies); Op. 60 no. 3,1
Fernando Sor,Einleitende Etuden (Introductory Studies); Op. 60 no. 4,1
Fernando Sor,Einleitende Etuden (Introductory Studies); Op. 60 no. 5,2
Fernando Sor,Einleitende Etuden (Introductory Studies); Op. 60 no. 6,2
Fernando Sor,Einleitende Etuden (Introductory Studies); Op. 60 no. 7,3
Fernando Sor,Einleitende Etuden (Introductory Studies); Op. 60 no. 8,1
Fernando Sor,Einleitende Etuden (Introductory Studies); Op. 60 no. 9,3
Fernando Sor,Estudio 1,6
Fernando Sor,Estudio 10,6
Fernando Sor,Estudio 16,9
Fernando Sor,Estudio 17,7
Fernando Sor,Estudio 18,7
Fernando Sor,Estudio 19,7
Fernando Sor,Estudio 2,3
Fernando Sor,Estudio 3,4
Fernando Sor,Estudio 4,5
Fernando Sor,Estudio 5,4
Fernando Sor,Estudio 6,5
Fernando Sor,First Exercise in 6ths,1
Fernando Sor,Fourth Exercise for 6ths,4
J.S. Bach,Gavotte I and II (from 5th Cello Suite),10
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 1",12
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 10",16
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 11",15
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 12",19
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 13",14
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 14",20
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 15",18
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 16",17
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 17",13
