Title,Composer,Difficulty,Reading,Max Position,Era,status,source,pdf_path,token_path,gp_path,scorehash,xml_path,file_path,ly_path
"""Hika"" in Memoriam Toru Takemitsu",Leo Brouwer,13,9,X,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/In Memoriam Toru Takemitsu by Leo Brouwer.pdf,,,,,,
Etude No. 3,Matteo Carcassi,3,4,IX,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 10 No 3 by Matteo Carcassi.pdf,,,,,,
Etude No. 7,Matteo Carcassi,3,2,III,Classical,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/Opus 10 No 7 by Matteo Carcassi.pdf,"/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/C/Carcassi, Mateo/Carcassi, Mateo - Etude op 60 no 7.gp3.tokens.txt","/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/C/Carcassi, Mateo/Carcassi, Mateo - Etude op 60 no 7.gp3",,,,
"Stuckchen, Op. 68 no. 5",Robert Schumann,4,3,V,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 68 No 5 Little Piece (Stuckchen) by Robert Schumann.pdf,,,,,,
Exercise no. 10,Dionisio Aguado,2,2,III,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Etude No 10 Metodo Primera by Dionisio Aguado.pdf,,,,,,
"Sonatine, Op. 71: Allegretto",Mauro Giuliani,4,2,IV,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 71 (Sonatine) 1st Movement by Mauro Giuliani.pdf,,,,,,
Fantasia,John Dowland,12,8,V,Renaissance,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/Fantasia by John Dowland.pdf,"datasets/DadaGP-v1.1/D/Dowland, John/Dowland, John - Fantasia.gp3.tokens.txt","datasets/DadaGP-v1.1/D/Dowland, John/Dowland, John - Fantasia.gp3",,,,
Fantasia,Anonymous,4,3,V,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Fantasia by Anonymous.pdf,,,,,,
Fantasia,Alonso Mudarra,9,6,VIII,Renaissance,found,dada_gp,,"datasets/DadaGP-v1.1/M/Mudarra, Alonso/Mudarra, Alonso - Fantasia.gp4.tokens.txt","datasets/DadaGP-v1.1/M/Mudarra, Alonso/Mudarra, Alonso - Fantasia.gp4",pf1wc,datasets/gaps_v1/musicxml/pf1wc.xml,,
Fantasia,William Byrd,8,4,III,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Fantasia by William Byrd.pdf,,,,,,
Fantasia (que contrahaze la harpa en la manera de Luduvico),Alonso Mudarra,9,6,III,Renaissance,found,dada_gp,,"datasets/DadaGP-v1.1/M/Mudarra, Alonso/Mudarra, Alonso - Fantasdega Que Contrahaze El Harpa En La Manera De Ludovico.gp3.tokens.txt","datasets/DadaGP-v1.1/M/Mudarra, Alonso/Mudarra, Alonso - Fantasdega Que Contrahaze El Harpa En La Manera De Ludovico.gp3",,,,
Feste lariane,Luigi Mozzani,10,4,X,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Feste Lariane by Luigi Mozzani.pdf,,,,,,
Folias,Gaspar Sanz,4,2,III,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/S/Sanz, Gaspar/Sanz, Gaspar - Folias (2).gp3.tokens.txt","datasets/DadaGP-v1.1/S/Sanz, Gaspar/Sanz, Gaspar - Folias (2).gp3",,,,
