piece_id,barre_ratio,avg_chord_stretch,max_chord_stretch,avg_position_shift,fret_change_rate,avg_fret,p90_fret,high_position_ratio,open_string_ratio,p90_chord_stretch,shift_rate,max_position_shift,std_position_shift,fret_entropy,arpeggio_density,avg_string_jump,max_string_jump,string_entropy,chord_ratio,avg_polyphony,total_notes,tempo_bpm,log_total_notes,repetition_ratio,true_label,predicted_label
24 Piezas Sudamericanas: 24. Milonga||Jorge Cardoso,0.71061337,-0.7985992,0.2736236,0.91624194,0.7019133,-0.28488544,-0.80247945,0.26095068,0.63133824,-0.4029485,0.89439225,0.82404816,0.33044162,0.309101,0.16605812,-0.895604,-0.0905043,-0.51802534,0.89637876,0.75387764,-0.50935304,0.08785026,-0.42500034,0.70739746,3,5
24 Piezas Sudamericanas: 8. Polo Margariteno||Jorge Cardoso,0.7105439,-0.79171413,0.2736236,0.91576225,0.7058985,-0.27886245,-0.80247945,0.17755446,0.7999272,-0.4029485,0.7740286,0.95183176,-0.26718768,-0.014992932,0.15107311,-0.881661,-0.0905043,0.19657534,0.9375818,0.76418877,-0.07015635,-0.9880591,0.019899007,0.708508,5,5
A Fancy||John Dowland,0.71059453,-0.78957886,0.4490913,0.7904234,0.68665826,-0.4841667,-0.8065651,0.09809246,0.5396637,-0.4029485,0.81277955,0.76113135,0.6596139,-0.5711966,0.055585116,0.8490739,-0.0905043,-0.38889182,0.82005244,0.74074,0.066327825,-0.08974641,0.12725544,0.7217793,6,5
A mi madre (Sonatina)||Agustin Barrios Mangore,0.71071595,-0.8198732,0.4490913,0.9455637,0.69081956,0.35070205,-0.7919275,0.6289799,0.83295697,-0.58556956,0.9136796,0.95183176,-0.10295244,0.8776681,0.13475128,-0.3449595,-0.0905043,-0.7310261,0.93667233,0.7561942,0.58739287,-0.2138271,0.4844912,0.7228313,5,6
Adagio from Pathetique Sonata||Ludwig van Beethoven,0.71062887,-0.8004874,0.2736236,0.7391664,0.49912393,-0.13122018,-0.7983171,0.3032716,0.8441803,-0.4029485,0.7009419,0.89634466,0.47949675,0.5923337,0.06367707,0.6167394,-0.0905043,-0.6057223,0.885736,0.7510725,0.86817384,-0.7743867,0.69754374,0.8416297,5,6
Aires Andaluces||Agustin Barrios Mandore,0.7111083,-0.8193444,0.7975765,0.86997014,0.57659227,0.11175984,-0.794077,0.44224244,0.7940572,-0.58556956,0.878302,0.8414451,0.42920625,0.806897,0.057705913,0.5869232,-0.5159525,-0.7197914,0.8203402,0.7191743,0.99240184,-0.9928035,0.88749015,0.74645424,6,6
Aires Mudejares||Agustin Barrios Mandore,0.7105439,-0.75087976,-0.316343,0.9481171,0.81600904,0.010805305,-0.7983171,0.5125922,0.6700247,0.060228854,0.9146604,0.8716012,0.18045916,0.5838348,0.13692158,-0.295323,-0.0905043,-0.9284815,0.971225,0.7768012,-0.90568227,-0.93117297,-0.9846553,0.70739746,5,4
"Allegretto, Op. 38 no. 13||Napoleon Coste",0.7106409,-0.8058543,0.90469295,0.7589198,0.4862616,-0.5297941,-0.80938005,0.07615786,0.42566764,-0.4029485,0.7669766,0.82404816,0.5522287,-0.60292614,0.08894473,0.9174793,-0.78214186,-0.4543315,0.53540325,0.67650795,-0.43381813,-0.91211253,-0.33357322,0.727898,2,3
"Allegretto, Op. 60 no. 8||Fernando Sor",0.7105439,-0.78533816,0.07783385,0.7702259,0.6792179,-0.6261709,-0.81057525,0.030131828,0.016057601,-0.4029485,0.9072672,0.6479143,0.68476737,-0.9486536,0.17782928,-0.84132373,-0.5159525,-0.89021057,0.73777056,0.7407293,-0.9224902,-0.9580426,-0.994959,0.70739746,0,0
"Allegro in D Major, Op. 50 no. 26||Mauro Giuliani",0.7105439,-0.77411073,0.2736236,0.8467517,0.7103867,-0.4998666,-0.80857956,0.10035044,0.27229205,-0.4029485,0.8579289,0.8572566,0.5264354,-0.6716853,0.057085045,0.65974814,-0.5159525,-0.81593674,0.91159165,0.7539861,-0.73176444,-0.65087426,-0.74197555,0.71212786,2,2
