piece_id,barre_ratio,avg_chord_stretch,max_chord_stretch,avg_position_shift,fret_change_rate,avg_fret,p90_fret,high_position_ratio,open_string_ratio,p90_chord_stretch,shift_rate,max_position_shift,std_position_shift,fret_entropy,max_avg_chord_stretch_window,p95_position_shift_window,avg_stretch_velocity_beats,p90_stretch_velocity_beats,avg_position_shift_speed_beats,max_position_shift_speed_beats,arpeggio_density,avg_string_jump,max_string_jump,string_entropy,chord_ratio,polyphonic_arpeggio_intensity_beats,avg_polyphony,total_notes,tempo_bpm,log_total_notes,repetition_ratio,max_note_density_window,true_label,predicted_label
24 Piezas Sudamericanas: 24. Milonga||Jorge Cardoso,0.53325415,-0.7944952,0.1876391,0.76589864,0.46881115,-0.29161444,-0.77286357,0.056460045,0.5238272,-0.43473873,0.9176901,0.53270984,0.05189747,-0.2968127,-0.34785298,0.77938294,-0.58430773,-0.7818835,0.29219908,0.517026,-0.5133818,-0.92206997,-0.30751386,0.49682987,0.6790559,0.811953,0.36223033,-0.7052659,-0.348175,-0.36021528,0.3705544,0.346933,3,4
24 Piezas Sudamericanas: 8. Polo Margariteno||Jorge Cardoso,0.53325415,-0.79146284,0.1876391,0.7547671,0.43233177,-0.2939897,-0.77286357,0.04419647,0.76810557,-0.43473873,0.46197313,0.9539453,-0.59197444,-0.46095398,-0.14309329,0.43694556,-0.49787578,-0.6361623,0.78955835,0.71821284,-0.502729,-0.9002866,-0.30751386,0.8204261,0.76868683,0.41721392,0.3933675,-0.44818068,-0.94139224,0.0010828371,0.39570534,0.32976085,5,4
A Fancy||John Dowland,0.53075004,-0.79074943,0.25045702,0.6741765,0.45038575,-0.435287,-0.7868644,0.034616597,0.3727916,-0.43473873,0.6870913,0.26727733,0.5391573,-0.6738725,-0.27604237,0.8230538,-0.52535045,-0.6361623,0.7933917,0.517026,-0.45921755,-0.20619881,-0.30751386,0.58760816,0.50996566,0.7555443,0.3117757,-0.4357348,-0.42739615,0.013247758,0.38302425,0.3401815,6,5
A mi madre (Sonatina)||Agustin Barrios Mangore,0.52544487,-0.8032633,0.25045702,0.73449683,0.280912,0.15477063,-0.7343202,0.115042605,0.81388485,-0.5587727,0.76995534,0.9539453,-0.3776607,0.25280002,-0.14309329,0.42698848,-0.67877036,-0.9284716,0.40895933,0.9998855,-0.4706417,-0.57075536,-0.30751386,0.41167173,0.78324383,0.5858334,0.36733788,0.42536205,-0.48030353,0.5013085,0.5052543,0.34288636,5,6
Adagio from Pathetique Sonata||Ludwig van Beethoven,0.51819587,-0.7967932,0.3112345,0.6286209,0.17652053,-0.18460894,-0.75806755,0.062405758,0.8480522,-0.5587727,0.20140667,0.45203677,0.40627995,-0.11445216,-0.2326185,0.830794,-0.6573758,-0.87383,0.5620045,0.87289476,-0.4578502,-0.15752204,-0.63572717,0.41658023,-0.030811597,0.9953805,0.1611397,0.34191528,-0.7398195,0.466968,0.46704188,0.39661154,5,5
Aires Andaluces||Agustin Barrios Mandore,0.49768466,-0.8013295,0.42512783,0.6723912,0.19544747,-0.018320387,-0.75036234,0.08356784,0.78267175,-0.5587727,0.643553,0.60473895,0.20445585,0.09219521,-0.039578315,0.7659013,-0.6224962,-0.83348596,0.65437716,0.98526806,-0.4415426,-0.26349702,-0.48872474,0.3565962,0.50699896,0.8039768,0.23560773,0.97028905,-0.9548016,0.79962265,0.50862795,0.35721576,6,6
Aires Mudejares||Agustin Barrios Mandore,0.53325415,-0.7755429,-0.008145033,0.7891861,0.58257294,-0.080414526,-0.75806755,0.09690303,0.5499801,-0.13426557,0.9289878,0.72300494,-0.14558403,-0.12579317,-0.50947064,0.71478486,-0.4425149,-0.42452785,-0.37773746,0.9938902,-0.4933957,-0.7269563,-0.30751386,-0.25260496,0.8888651,0.6439778,0.4505561,-0.9016427,-0.85739917,-0.92884344,0.4014128,0.33882692,5,3
"Allegretto, Op. 38 no. 13||Napoleon Coste",0.52870965,-0.79765767,0.5269819,0.64596206,0.19929713,-0.47093388,-0.8000996,0.031700876,0.1968561,-0.43473873,0.41250452,0.53270984,0.3757678,-0.6911228,0.5362727,0.79788417,-0.51195496,-0.6361623,0.8811891,0.43148085,-0.47036412,-0.009115861,-0.63572717,0.52723294,0.040021844,0.7845648,0.065072514,-0.63750637,-0.8386986,-0.23745607,0.41696668,0.33882692,2,4
"Allegretto, Op. 60 no. 8||Fernando Sor",0.53325415,-0.7890172,0.12324779,0.66304004,0.44152638,-0.5456721,-0.8000996,0.025767619,-0.38490978,-0.43473873,0.9398224,-0.15154974,0.577916,-0.8927345,-0.3390762,0.88241106,-0.47648704,-0.53879166,0.9144956,0.06086945,-0.51902324,-0.90281534,-0.48872474,-0.1253724,0.35745645,0.2817444,0.31173483,-0.9154187,-0.8889265,-0.969227,0.3705544,0.32109132,0,0
"Allegro in D Major, Op. 50 no. 26||Mauro Giuliani",0.53325415,-0.78652614,0.1876391,0.7050759,0.4521767,-0.44013453,-0.7868644,0.03609634,-0.02606606,-0.5587727,0.81783354,0.6680698,0.33332628,-0.7053952,-0.14309329,0.7951995,-0.4982127,-0.64496285,0.5633569,0.5933557,-0.45997006,-0.4036136,-0.48872474,0.17502147,0.69352096,0.84787685,0.35048023,-0.79904485,-0.6732896,-0.5877703,0.3844489,0.34962365,2,3
