piece_id,barre_ratio,avg_chord_stretch,max_chord_stretch,avg_position_shift,fret_change_rate,avg_fret,p90_fret,high_position_ratio,open_string_ratio,p90_chord_stretch,shift_rate,max_position_shift,std_position_shift,fret_entropy,max_avg_chord_stretch_window,p95_position_shift_window,avg_stretch_velocity_beats,p90_stretch_velocity_beats,avg_position_shift_speed_beats,max_position_shift_speed_beats,arpeggio_density,avg_string_jump,max_string_jump,string_entropy,chord_ratio,polyphonic_arpeggio_intensity_beats,avg_polyphony,total_notes,tempo_bpm,log_total_notes,repetition_ratio,max_note_density_window,true_label,predicted_label
24 Piezas Sudamericanas: 24. Milonga||Jorge Cardoso,0.696616,-0.8875427,-0.05063791,0.931398,0.7109942,-0.7574461,-0.97244203,0.40074807,0.91290057,0.58874923,0.9008174,0.81466573,0.33840248,-0.91183203,-0.4295484,0.7172791,-0.92631125,-0.8462748,0.81970257,0.89625597,0.9451447,-0.9978797,-0.54389864,-0.7005127,0.638598,0.81165045,0.29878667,-0.38616884,-0.6795925,-0.45678914,0.35739225,-0.14219685,7,9
24 Piezas Sudamericanas: 8. Polo Margariteno||Jorge Cardoso,0.67489576,-0.9165893,-0.05063791,0.689658,0.7042945,-0.7592219,-0.97244203,0.38899413,0.99151003,0.58874923,0.9178148,0.9999693,0.9985521,-0.9512773,-0.38357687,0.99999845,-0.5636096,-0.7230891,0.82369006,0.8243534,0.90860254,-0.9955222,-0.54389864,0.5098889,0.6838916,0.34640926,0.2756911,-0.19869035,-0.87052745,-0.23274752,0.4580876,0.32402655,11,15
A Fancy||John Dowland,0.6812028,-0.92225575,0.003630144,0.9278204,0.7075916,-0.8503278,-0.6894819,0.37973234,0.7725021,0.58874923,0.89470214,0.12445487,0.111926675,-0.98211,-0.4130706,0.45653054,-0.7352408,-0.7230891,0.7869304,0.92363095,0.44251296,0.55233455,-0.54389864,-0.5134471,0.5672071,0.74753314,0.33428535,-0.19093844,-0.6975304,-0.22493966,0.40827623,0.046000417,13,11
A mi madre (Sonatina)||Agustin Barrios Mangore,0.6923765,-0.73720247,0.003630144,0.8237714,0.6776429,-0.25065866,-0.9999555,0.45532966,0.99564517,-0.3014697,0.92632085,0.99993956,0.9786476,-0.5641158,-0.38357687,0.99999356,-0.9941076,-0.95627683,0.8915409,0.5737885,0.6315946,-0.5744693,-0.54389864,-0.80727094,0.6920774,0.5479183,0.29506385,0.2789785,-0.70983166,0.13456349,0.78581727,-0.029638395,11,14
Adagio from Pathetique Sonata||Ludwig van Beethoven,0.8321224,-0.8590883,0.057876825,0.92402816,0.65977585,-0.668206,-0.99787813,0.40640548,0.9976178,-0.3014697,0.9118457,0.6652647,0.35117853,-0.8436823,-0.40333113,0.26168385,-0.98899734,-0.9173535,0.8838435,0.83742404,0.4164837,0.64572585,-0.6460644,-0.8024002,0.3725118,0.99705666,0.42885342,0.23128013,-0.7789964,0.10461377,0.6936525,-0.9167826,10,10
Aires Andaluces||Agustin Barrios Mandore,0.733651,-0.78127843,0.16504095,0.92946345,0.66300875,-0.49038416,-0.9994145,0.4263245,0.9930392,-0.3014697,0.90503806,0.99821603,0.54739004,-0.71789616,-0.36092675,0.89519405,-0.9715481,-0.88691396,0.8145455,0.8597835,0.06644147,0.41827404,-0.59740007,-0.8538044,0.5660534,0.8026907,0.38399878,0.81525034,-0.8818424,0.4664477,0.7928413,-0.40805352,12,15
Aires Mudejares||Agustin Barrios Mandore,0.5700743,-0.98233056,-0.21042451,0.89583653,0.7331232,-0.56266606,-0.99787813,0.43870345,0.9281581,0.9900569,0.91232073,0.6652647,0.47812027,-0.84888595,-0.46950096,0.8363318,-0.061118506,-0.52650595,0.87603706,0.89625597,0.85928535,-0.89540565,-0.54389864,-0.9917497,0.7641048,0.6170376,0.23054712,-0.6178639,-0.82255375,-0.8752866,0.47980922,0.08367678,11,11
"Allegretto, Op. 38 no. 13||Napoleon Coste",0.8035661,-0.8466655,0.26844496,0.9201008,0.66366625,-0.8691294,0.4148319,0.37689945,0.463822,0.58874923,0.9048992,0.90133595,0.68552005,-0.9838459,-0.21389978,0.972111,-0.6591978,-0.7230891,0.73337954,0.92363095,0.6276272,0.83446467,-0.6460644,-0.6481498,0.3981364,0.78072906,0.48230362,-0.3299992,-0.8145127,-0.38146803,0.536632,0.08367678,6,18
"Allegretto, Op. 60 no. 8||Fernando Sor",0.5700743,-0.9344582,-0.10460857,0.9534557,0.70596933,-0.9036664,0.4148319,0.37111455,-0.8174331,0.58874923,0.8708552,-0.7116608,-0.0021128026,-0.9974803,-0.42750394,-0.6257355,-0.3889803,-0.6349663,0.6658468,0.95209396,0.95840794,-0.9958593,-0.59740007,-0.9847637,0.5103836,0.18598254,0.33431318,-0.6426803,-0.83769745,-0.92832386,0.35739225,0.5196008,0,0
"Allegro in D Major, Op. 50 no. 26||Mauro Giuliani",0.5879973,-0.9487035,-0.05063791,0.93268836,0.70792055,-0.8529773,-0.6894819,0.38116756,-0.11260991,-0.3014697,0.90425026,0.81466573,0.38294256,-0.9852081,-0.38357687,0.69682825,-0.5660842,-0.7308402,0.81521803,0.89625597,0.4565472,-0.013422994,-0.59740007,-0.93879956,0.6454251,0.8514691,0.30725738,-0.4784665,-0.7590936,-0.6008496,0.41397393,-0.21541888,5,4
