piece_id,barre_ratio,avg_chord_stretch,max_chord_stretch,avg_position_shift,open_string_ratio,p90_chord_stretch,shift_rate,max_position_shift,std_position_shift,fret_entropy,max_avg_chord_stretch_window,avg_stretch_velocity_beats,avg_position_shift_speed_beats,max_position_shift_speed_beats,arpeggio_density,avg_string_jump,max_string_jump,string_entropy,chord_ratio,polyphonic_arpeggio_intensity_beats,total_notes,tempo_bpm,log_total_notes,repetition_ratio,max_note_density_window,true_label,predicted_label
24 Piezas Sudamericanas: 4. Vals Venezolano||Jorge Cardoso,-0.8862539,0.47123575,-0.53512996,-0.7704126,0.46689782,0.20597889,0.19676535,-0.4361904,-0.38176957,0.86132103,-0.95987767,-0.98131293,-0.27365902,0.9961138,0.78791636,-0.40037215,0.87477016,0.68159354,-0.8742451,-0.8690857,0.381472,0.64585596,0.98008186,-0.9426918,-0.10625264,4,5
Abri la Puerta mi China||Agustin Barrios Mandore,-0.8737184,0.3136285,-0.5936891,-0.6985264,0.8673429,0.20597889,-0.0542618,-0.38455078,-0.13261023,0.8969275,-0.9587433,-0.9760163,-0.25074536,0.966215,0.58971465,0.53938013,0.7835889,-0.9195591,-0.9645622,-0.9573236,0.15455586,0.5071567,0.9705545,-0.96718645,-0.13646932,5,4
Adagio from Pathetique Sonata||Ludwig van Beethoven,-0.881887,0.24179202,-0.47093278,-0.75315934,0.4148639,-0.25081655,0.39896542,-0.38455078,-0.15610561,0.8809104,-0.95931435,-0.8750999,0.4316399,0.96612823,0.7535673,0.0857589,0.638808,0.7828906,-0.95989937,-0.99351877,0.4218227,0.5326026,0.9814516,-0.90164745,0.25081605,5,6
"Allegretto, Op. 241 no. 14||Ferdinando Carulli",-0.87053084,-0.4088829,-0.64656997,-0.8023477,-0.6657596,0.7979516,0.17269425,-0.42581394,-0.32124454,-0.31374466,-0.95816433,0.23302668,-0.073948584,0.9371789,0.91785264,0.18524301,0.638808,-0.15538046,-0.99024326,-0.9213113,-0.79561794,0.5326026,0.3166657,-0.8107804,-0.3107283,1,1
"Allegretto, Op. 50 no. 22||Mauro Giuliani",-0.87053084,-0.50948185,-0.69389033,-0.79417926,-0.6375141,0.81423664,0.8468412,-0.368143,-0.09790105,-0.6300712,-0.95698255,0.37381825,0.24786372,0.6285015,0.756515,0.13105217,0.7835889,-0.8126272,-0.8300578,-0.8618876,-0.8567093,0.46727547,-0.28451785,-0.79415965,-0.32908216,0,1
"Allegro in D Major, Op. 50 no. 26||Mauro Giuliani",-0.87053084,-0.16270994,-0.5936891,-0.81229615,-0.699545,-0.25081655,0.8774473,-0.39669985,-0.18841337,-0.114602186,-0.96043336,-0.0069172173,0.4289102,0.83826226,0.7632848,-0.24137047,0.7835889,0.5901826,-0.8009783,-0.8649878,-0.7842264,0.46727547,0.38505206,-0.8136269,-0.28276104,2,2
Alman||Robert Johnson,-0.87053084,-0.056792814,-0.5936891,-0.76684576,-0.46497622,0.20597889,0.4073221,-0.37158072,-0.061909568,0.05474251,-0.9587433,-0.12736474,-0.07338793,0.6615953,0.77572393,-0.28136963,0.87477016,0.8739602,-0.88142514,-0.88920087,-0.815621,0.32049116,0.16804442,-0.79788786,-0.31993526,3,2
Altair||Agustin Barrios Mandore,-0.8892115,0.45593476,-0.47093278,-0.7936676,0.6451203,0.20597889,0.7133369,-0.40472302,-0.21950348,0.8917429,-0.95959693,-0.13563192,-0.64601487,0.7929007,0.71662545,-0.16493087,0.87477016,0.94175017,-0.97175145,-0.69366086,-0.7744296,0.80649686,0.43615043,-0.8673201,-0.4663351,4,5
Andantino in C; Op. 35 no. 2||Fernando Sor,-0.87053084,-0.1457622,-0.64656997,-0.7470991,-0.7235342,0.37572223,0.3657226,-0.35985148,-0.035490263,-0.7700254,-0.9587433,0.05964044,-0.6618034,0.48902586,0.90135676,0.13306887,0.42821875,0.7132599,-0.9863339,-0.8550406,-0.8978213,0.5326026,-0.84149253,-0.79415965,-0.42119732,0,0
"Andantino, Op. 39 no. 2||Anton Diabelli",-0.87053084,0.072085,-0.64656997,-0.8382966,-0.6273252,0.20597889,0.42765656,-0.4323126,-0.5068177,-0.7045427,-0.9587433,0.2745763,-0.7465648,0.6386843,0.925902,-0.6234132,0.7835889,0.81857467,-0.8410106,-0.45238563,-0.9149528,0.73638743,-0.9714831,-0.79415965,-0.5531775,0,0
